id,text,addiction_type,confidence
202,"I rely on alcohol to relax, even in social situations.",substance_abuse,0.86
203,I often find myself borrowing money to gamble.,gambling,0.89
204,I lose track of time while playing video games and neglect my chores.,digital_addiction,0.87
205,I drink more than I intend when I'm out with friends.,substance_abuse,0.82
206,I frequently check gambling websites even when I’ve promised to stop.,gambling,0.91
207,I feel a rush when I check for new likes or messages online.,digital_addiction,0.88
208,"I often think about my next drink, even while at work.",substance_abuse,0.84
209,I have gone into debt due to my gambling habits.,gambling,0.9
210,"I struggle to stop playing video games, even when I want to.",digital_addiction,0.89
211,I often feel guilty about how much I drink.,substance_abuse,0.83
212,"I find myself chasing losses when I gamble, thinking I can win it back.",gambling,0.86
213,I feel restless when I’m not online for an extended period.,digital_addiction,0.9
214,I use alcohol as a way to escape my problems.,substance_abuse,0.87
215,I often gamble despite knowing the odds are against me.,gambling,0.84
216,I feel like I can't function without checking my phone regularly.,digital_addiction,0.92
217,I sometimes black out from drinking and can't remember the night.,substance_abuse,0.89
218,I frequently argue with friends about my gambling habits.,gambling,0.85
219,I prioritize gaming over spending time with family.,digital_addiction,0.88
220,I often lie about how much I drink to others.,substance_abuse,0.86
221,"I gamble to feel excitement, even when I can't afford to lose.",gambling,0.9
222,"I feel compelled to post updates on social media, even when I’m busy.",digital_addiction,0.91
223,I often drink to cope with feelings of loneliness.,substance_abuse,0.88
224,"I often place bets when I’m stressed, thinking it will help me relax.",gambling,0.87
225,I can't resist the urge to check my favorite online game multiple times a day.,digital_addiction,0.89
226,I find myself drinking even when I don't enjoy it anymore.,substance_abuse,0.85
227,"I often gamble in secret, hiding it from my friends and family.",gambling,0.92
228,I feel like I need to be online to feel connected.,digital_addiction,0.9
229,I frequently choose drinking over spending time with my loved ones.,substance_abuse,0.87
230,"I often say I will stop gambling, but I can’t seem to do it.",gambling,0.89
231,I often neglect my hobbies in favor of spending time online.,digital_addiction,0.88
232,I might buy gadgets I don't need during sales.,none,0.24
233,I need multiple coffees throughout the day to function.,substance_abuse,0.82
234,"I might stay up late reading, but I can stop if needed.",none,0.19
235,I spend hours scrolling TikTok without realizing it.,digital_addiction,0.86
236,I find myself looking for excuses to drink socially.,substance_abuse,0.83
237,I feel compelled to keep betting even after losing large sums.,gambling,0.88
238,I spend weekends gaming instead of socializing.,digital_addiction,0.84
239,"I enjoy movie marathons occasionally, but I don’t do it often.",none,0.21
240,I often skip meals while gaming for hours.,digital_addiction,0.88
241,I find it hard to start the day without checking Instagram.,digital_addiction,0.85
242,I use alcohol to unwind even when not stressed.,substance_abuse,0.81
243,I often participate in online challenges just to keep up.,digital_addiction,0.79
244,"I occasionally place small bets, but it doesn't affect me much.",none,0.23
245,I check my phone every few minutes without realizing it.,digital_addiction,0.86
246,"I gamble with friends on weekends, hoping to win big.",gambling,0.83
247,I snack unconsciously while watching TV for hours.,substance_abuse,0.78
248,I feel uneasy when I don't receive enough likes on my posts.,digital_addiction,0.82
249,"I play video games late into the night, even on workdays.",digital_addiction,0.87
250,"I don't drink often, but when I do, I binge heavily.",substance_abuse,0.85
251,I spend money impulsively on gambling apps.,gambling,0.89
252,"I try to cut back on caffeine, but I always relapse.",substance_abuse,0.77
253,"I enjoy outdoor activities, but I'm not addicted to them.",none,0.18
254,I get frustrated when I can't access Wi-Fi or data.,digital_addiction,0.8
255,I drink energy drinks daily to stay alert.,substance_abuse,0.84
256,I scroll through online stores even when I don’t plan to buy anything.,digital_addiction,0.81
257,I avoid attending events without alcohol.,substance_abuse,0.82
258,I can't resist betting when there's a big sports match.,gambling,0.86
259,"I enjoy listening to music, but I can live without it.",none,0.22
260,I lose track of time scrolling through memes.,digital_addiction,0.79
261,"I need coffee every morning, no matter what.",substance_abuse,0.83
262,I can’t start my day without a strong cup of coffee.,substance_abuse,0.85
263,I need to smoke a cigarette after every meal.,substance_abuse,0.79
264,I crave chocolate every afternoon.,substance_abuse,0.76
265,I can't resist binge-watching TV shows every weekend.,behavioral_addiction,0.82
266,I feel the need to check my phone every few minutes.,behavioral_addiction,0.88
267,I often find myself scrolling through social media for hours.,behavioral_addiction,0.9
268,I need to play video games daily to feel satisfied.,behavioral_addiction,0.84
269,I can't go a day without my morning tea.,substance_abuse,0.8
270,I have to buy new clothes every month.,behavioral_addiction,0.77
271,I need to drink energy drinks to keep going throughout the day.,substance_abuse,0.81
272,I rely on caffeine to get through my workday.,substance_abuse,0.87
273,I can't help but eat junk food every night.,substance_abuse,0.78
274,I feel anxious if I don't have my phone on me.,behavioral_addiction,0.83
275,I often find myself shopping online instead of doing chores.,behavioral_addiction,0.8
276,I need to drink wine to unwind after a stressful day.,substance_abuse,0.75
277,I can't focus without listening to music.,behavioral_addiction,0.76
278,I need my daily dose of social media likes to feel validated.,behavioral_addiction,0.85
279,I often lose track of time while browsing the internet.,behavioral_addiction,0.82
280,I can't go to bed without watching at least one episode of a show.,behavioral_addiction,0.78
281,I feel the need to drink soda every day.,substance_abuse,0.73
282,I have to play poker every week with friends.,behavioral_addiction,0.74
283,I need to check my email constantly.,behavioral_addiction,0.76
284,I can’t resist eating dessert every night.,substance_abuse,0.8
285,I often spend hours on TikTok.,behavioral_addiction,0.89
286,I need to smoke weed to relax.,substance_abuse,0.79
287,I feel compelled to play video games even when I have work to do.,behavioral_addiction,0.88
288,I can't resist buying new tech gadgets.,behavioral_addiction,0.77
289,I drink alcohol every weekend to socialize.,substance_abuse,0.82
290,I need to check news updates multiple times a day.,behavioral_addiction,0.81
291,I can't go to sleep without reading.,behavioral_addiction,0.76
292,I have to play fantasy sports every season.,behavioral_addiction,0.74
293,I often find myself eating snacks when I'm bored.,substance_abuse,0.78
294,I feel the need to log my meals every day.,behavioral_addiction,0.75
295,I can’t resist scrolling through dating apps.,behavioral_addiction,0.83
296,I need to buy something new to feel happy.,behavioral_addiction,0.81
297,I can’t go without my morning smoothie.,substance_abuse,0.76
298,I often binge on chips while watching movies.,substance_abuse,0.79
299,I need to take a break from work to scroll through social media.,behavioral_addiction,0.82
300,I find it hard to resist sweets when they are around.,substance_abuse,0.77
301,I need to play mobile games during my commute.,behavioral_addiction,0.8
302,I can't go a day without using my computer.,behavioral_addiction,0.84
303,I often feel the urge to shop online at night.,behavioral_addiction,0.78
304,I enjoy watching movies on weekends but don't do it often.,none,0.35
305,"I occasionally play video games, but it's not a regular habit.",none,0.4
306,"I read books from time to time, but I don't feel the need to read every day.",none,0.25
307,"I sometimes scroll through social media, but it doesn't consume my time.",none,0.32
308,"I enjoy cooking on weekends, but I don't consider it an obsession.",none,0.3
309,"I watch documentaries occasionally, but I don't binge-watch.",none,0.29
310,"I like to go for walks, but I don’t feel the need to do it every day.",none,0.31
311,"I occasionally listen to music, but I can go days without it.",none,0.34
312,I enjoy casual shopping but don't have a compulsive urge to buy things.,none,0.3
313,"I like to try new recipes sometimes, but it’s not a daily thing.",none,0.28
314,"I go to the gym occasionally, but I don’t feel pressured to go every day.",none,0.36
315,"I enjoy gardening, but I don’t spend all my free time on it.",none,0.33
316,"I watch sports games when they are on, but it's not a regular habit.",none,0.3
317,"I enjoy going to cafes with friends occasionally, but it's not frequent.",none,0.29
318,"I like to go hiking during the summer, but I don’t do it all the time.",none,0.31
319,"I occasionally do puzzles, but it’s just for fun, not a habit.",none,0.25
320,I enjoy casual conversations with friends but don’t feel the need to be social all the time.,none,0.3
321,"I sometimes try out new hobbies, but I don’t stick with them long-term.",none,0.28
322,"I like to attend local events occasionally, but it's not a regular occurrence.",none,0.34
323,"I sometimes binge on snacks during movie nights, but it's rare.",none,0.32
324,I like to read news articles but don’t obsessively check the news.,none,0.3
325,"I enjoy going out to eat, but I can also cook at home and be satisfied.",none,0.36
326,"I dabble in painting when I feel inspired, but I don’t do it frequently.",none,0.29
327,I like to catch up on podcasts occasionally but don’t listen daily.,none,0.35
328,I enjoy playing board games with friends but don’t seek them out regularly.,none,0.33
329,I sometimes spend time with family on weekends but have my own space too.,none,0.31
330,"I occasionally indulge in spa days, but I don’t feel compelled to do it often.",none,0.3
331,I like to try new teas but can also stick to my favorites.,none,0.27
332,I sometimes take pictures during outings but don’t overdo it.,none,0.32
333,I enjoy browsing through bookstores occasionally but don’t buy books every time.,none,0.34
334,I like to do yoga a few times a month but can skip it without any guilt.,none,0.3
335,I enjoy learning new skills but don’t feel the need to master them all.,none,0.29
336,I like to watch the occasional live music show but not every week.,none,0.35
337,I sometimes do karaoke with friends but don’t seek it out often.,none,0.3
338,I occasionally enjoy craft projects but don’t make them a priority.,none,0.28
339,I like to go on road trips but can be content staying home too.,none,0.31
340,I sometimes try new workout classes but don’t feel pressured to keep it up.,none,0.3
341,I enjoy volunteering but can take breaks without feeling guilty.,none,0.29
342,I occasionally indulge in self-care activities but don't feel the need to do them often.,none,0.3
343,I like to spend time outdoors but can also enjoy indoor activities.,none,0.35
344,"I need coffee to start my day, otherwise I feel sluggish.",substance_abuse,0.85
345,I occasionally enjoy a glass of wine but don't rely on it.,none,0.4
346,I have to check my phone constantly for messages and updates.,digital_addiction,0.82
347,"I play video games on weekends, but it's not something I have to do.",none,0.35
348,I find myself needing to shop online frequently.,shopping_addiction,0.78
349,I enjoy hiking occasionally but don’t feel compelled to go all the time.,none,0.3
350,I often binge-watch series and struggle to stop.,digital_addiction,0.9
351,"I have a habit of reading novels, but I can easily put them down.",none,0.28
352,I need to have my phone by my side at all times.,digital_addiction,0.87
353,I enjoy spending time with friends but don’t feel pressured to socialize often.,none,0.3
354,I find it hard to resist desserts when they're around.,food_addiction,0.76
355,I like to experiment with cooking but can easily skip it.,none,0.32
356,I often scroll through social media for hours without realizing it.,digital_addiction,0.8
357,I enjoy doing puzzles occasionally but don’t feel the need to do them all the time.,none,0.29
358,I sometimes feel compelled to check my email repeatedly.,digital_addiction,0.75
359,I go for runs regularly but can also skip days without feeling guilty.,none,0.31
360,"I need to buy new clothes often, even when I don’t need them.",shopping_addiction,0.79
361,I enjoy crafting on the weekends but don't have to do it all the time.,none,0.3
362,I find myself needing to smoke cigarettes regularly.,substance_abuse,0.85
363,"I like to go for coffee with friends occasionally, but it’s not a must.",none,0.33
364,I need to keep snacks handy to feel satisfied throughout the day.,food_addiction,0.74
365,I enjoy attending concerts but can live without them.,none,0.3
366,I often find myself needing to refresh my social media feed.,digital_addiction,0.82
367,I love going out to eat but don’t do it regularly.,none,0.28
368,I need to check my notifications every few minutes.,digital_addiction,0.88
369,I like to try different restaurants but can cook at home instead.,none,0.31
370,I often binge on snacks during late-night movie marathons.,food_addiction,0.77
371,I find it difficult to put down a good book once I start.,none,0.34
372,I need to have my favorite coffee brand every morning.,substance_abuse,0.83
373,I enjoy gardening but don’t spend all my time on it.,none,0.32
374,I feel compelled to check the latest news updates regularly.,digital_addiction,0.76
375,"I like to go out for walks, but it's not a necessity.",none,0.3
376,"I need to buy new gadgets frequently, even when my old ones work fine.",shopping_addiction,0.81
377,I enjoy sketching occasionally but can go weeks without doing it.,none,0.29
378,I often binge-watch shows late into the night.,digital_addiction,0.89
379,I enjoy a casual drink with friends but don’t rely on it for fun.,none,0.3
380,"I have a habit of collecting shoes, even when I don't wear them all.",shopping_addiction,0.75
381,I sometimes indulge in ice cream but don’t need it to feel satisfied.,food_addiction,0.32
382,I like to travel but can also enjoy staying home.,none,0.31
383,I often need to scroll through my phone while watching TV.,digital_addiction,0.84
384,I occasionally buy new books but can borrow from the library.,none,0.3
385,I find myself needing to smoke weed to relax after a long day.,substance_abuse,0.82
386,"I enjoy painting on weekends, but I can skip it without feeling bad.",none,0.3
387,I have a tendency to play mobile games for hours without realizing it.,digital_addiction,0.79
388,I like to try out new recipes but don’t feel compelled to cook every day.,none,0.32
389,I often need to have energy drinks to stay awake during the day.,substance_abuse,0.85
390,"I occasionally buy new tech gadgets, but I don't feel the need to have the latest one.",none,0.34
391,I struggle to resist shopping online during sales events.,shopping_addiction,0.78
392,I enjoy visiting art galleries but don't need to do it often.,none,0.3
393,I frequently feel the need to check my social media accounts throughout the day.,digital_addiction,0.81
394,I occasionally binge on popcorn while watching movies at home.,food_addiction,0.73
395,I like to go cycling but can skip it for weeks without issue.,none,0.31
396,I find myself needing to drink soda throughout the day to stay energized.,substance_abuse,0.79
397,I enjoy volunteering at the animal shelter but don't do it regularly.,none,0.3
398,I can't help but scroll through fashion websites for new outfits.,shopping_addiction,0.76
399,I enjoy meditation but can go days without practicing.,none,0.29
400,I need to take naps during the day to function properly.,none,0.3
